origin_date,target,target_end_date,horizon,location,team_id,model_id,metric,value_absolute,value_relative,n_models,rank
2023-12-20,ARI incidence,2023-12-24,2,BE,ISI,AriABCaster,WIS,292.948845619544,-1.64030324729965,7,5
2023-12-20,ARI incidence,2023-12-24,2,BE,ISI,GenLogModelAri,WIS,55.6587833757961,0.49835587787665936,7,1
2023-12-20,ARI incidence,2023-12-24,2,BE,respicast,hubEnsemble,WIS,56.7066956735394,0.48891120422803824,7,2
2023-12-20,ARI incidence,2023-12-24,2,BE,respicast,quantileBaseline,WIS,110.952727085101,0.0,7,3
2023-12-20,ARI incidence,2023-12-24,2,BG,ECDC,ARI2MA,WIS,59.9618206113948,-1.1375219018562643,7,4
2023-12-20,ARI incidence,2023-12-24,2,BG,ECDC,norrsken_blue,WIS,69.5585932521416,-1.479628120406157,7,6
2023-12-20,ARI incidence,2023-12-24,2,BG,ECDC,norrsken_green,WIS,81.9392447894535,-1.9209741894617314,7,7
2023-12-20,ARI incidence,2023-12-24,2,BG,ISI,AriABCaster,WIS,61.5568498723151,-1.194381582642389,7,5
2023-12-20,ARI incidence,2023-12-24,2,BG,ISI,GenLogModelAri,WIS,57.084511165622,-1.034951434581485,7,3
2023-12-20,ARI incidence,2023-12-24,2,BG,respicast,hubEnsemble,WIS,52.4569503049589,-0.8699879196150888,7,2
2023-12-20,ARI incidence,2023-12-24,2,BG,respicast,quantileBaseline,WIS,28.0520263017295,0.0,7,1
2023-12-20,ARI incidence,2023-12-24,2,CZ,ECDC,ARI2MA,WIS,47.6222317967338,-0.7948931798122794,7,2
2023-12-20,ARI incidence,2023-12-24,2,CZ,ECDC,norrsken_blue,WIS,15060.524758701,-566.6347402021677,7,6
2023-12-20,ARI incidence,2023-12-24,2,CZ,ECDC,norrsken_green,WIS,16811.4829704839,-632.6287693329272,7,7
2023-12-20,ARI incidence,2023-12-24,2,CZ,ISI,AriABCaster,WIS,168.622299964634,-5.3554143674455,7,5
2023-12-20,ARI incidence,2023-12-24,2,CZ,ISI,GenLogModelAri,WIS,123.800167667779,-3.6660576000504337,7,3
2023-12-20,ARI incidence,2023-12-24,2,CZ,respicast,hubEnsemble,WIS,124.632103650809,-3.6974134640165444,7,4
2023-12-20,ARI incidence,2023-12-24,2,CZ,respicast,quantileBaseline,WIS,26.5320701712814,0.0,7,1
2023-12-20,ARI incidence,2023-12-24,2,DE,ECDC,ARI2MA,WIS,99.3775145028665,-0.779609854292046,7,4
2023-12-20,ARI incidence,2023-12-24,2,DE,ECDC,norrsken_blue,WIS,342.796887785627,-5.138659460096982,7,7
2023-12-20,ARI incidence,2023-12-24,2,DE,ECDC,norrsken_green,WIS,282.759427399347,-4.063534401228556,7,6
2023-12-20,ARI incidence,2023-12-24,2,DE,ISI,AriABCaster,WIS,63.8065534372541,-0.14262035867353173,7,2
2023-12-20,ARI incidence,2023-12-24,2,DE,ISI,GenLogModelAri,WIS,189.301135031893,-2.3899234350614478,7,5
2023-12-20,ARI incidence,2023-12-24,2,DE,respicast,hubEnsemble,WIS,64.3356291043429,-0.15209481852018247,7,3
2023-12-20,ARI incidence,2023-12-24,2,DE,respicast,quantileBaseline,WIS,55.8423040101676,0.0,7,1
2023-12-20,ARI incidence,2023-12-24,2,EE,ECDC,ARI2MA,WIS,47.7242296756447,-0.04124254470310729,7,2
2023-12-20,ARI incidence,2023-12-24,2,EE,ECDC,norrsken_blue,WIS,520.560544816995,-10.357538718616555,7,7
2023-12-20,ARI incidence,2023-12-24,2,EE,ECDC,norrsken_green,WIS,360.834963529472,-6.872661710766626,7,6
2023-12-20,ARI incidence,2023-12-24,2,EE,ISI,AriABCaster,WIS,166.63468606069,-2.6356191756025944,7,5
2023-12-20,ARI incidence,2023-12-24,2,EE,ISI,GenLogModelAri,WIS,116.849254414268,-1.549405529222502,7,4
2023-12-20,ARI incidence,2023-12-24,2,EE,respicast,hubEnsemble,WIS,113.412772697208,-1.4744287094348092,7,3
